Designator,Mid X,Mid Y,Rotation,Layer
BT2,221.996,-68.326,180.0,bottom
C1,205.78,-91.186,0.0,bottom
C2,236.006,-92.456,0.0,bottom
D1,214.63,-96.52,0.0,top
D3,208.28,-103.124,0.0,top
D4,221.234,-102.87,0.0,top
D5,227.838,-96.52,0.0,top
D7,234.437,-102.87,0.0,top
D8,211.836,-82.804,0.0,top
D9,224.531,-82.804,0.0,top
Q1,216.254,-89.789,0.0,bottom
Q2,232.796039,-84.676961,0.0,bottom
R1,203.962,-69.85,180.0,bottom
R2,202.946,-108.204,90.0,bottom
R3,239.268,-108.966,90.0,bottom
R4,239.268,-69.85,180.0,bottom
